Year,Crude divorce rate,GDP per capita,Average years of schooling among women,Average years of schooling among men,Working hours per worker
1990,2.7,26189.0,9.662937,9.6106825,1745.9441
1991,2.8,25792.014,9.703264,9.748332,1720.5466
1992,2.8,25790.186,9.780495,9.849079,1714.3304
1993,2.9,26349.342,9.898778,9.949825,1710.316
1994,2.7,27277.543,9.977392,10.050572,1720.5905
1995,2.9,27861.215,10.0560055,10.151319,1722.6252
1996,3.0,28472.248,10.180477,10.206073,1722.0925
1997,2.8,29259.764,10.397543,10.260826,1721.1954
1998,2.7,30077.385,10.59022,10.315579,1716.9994
1999,2.7,30932.537,10.782899,10.370334,1708.6104
2000,2.6,31946.037,10.975576,10.425087,1692.954
2001,2.7,32660.441,11.108948,10.799602,1695.9764
2002,2.7,33271.3,11.141312,11.275124,1678.5614
2003,2.8,34232.426,11.372786,11.548631,1669.3804
2004,2.8,34865.78,11.6042595,11.923145,1666.7157
2005,2.6,35623.625,11.835733,12.29766,1669.7372
2006,2.4,36214.07,12.121799,12.523245,1663.9857
2007,2.3,36816.676,12.4078665,12.74883,1665.8214
2008,2.2,36264.79,12.693933,12.974415,1660.4688
2009,2.0,34402.36,12.98,13.2,1638.3318
2010,2.1,34754.473,13.12,13.31,1643.2079
2011,2.1,34971.0,13.08,13.3,1639.8158
2012,2.1,35243.64,13.27,13.41,1655.019
2013,2.0,35660.56,12.75,12.92,1665.9749
2014,1.9,36521.86,12.84,12.94,1672.4341
2015,1.7,37101.227,12.946667,13.016666,1669.4652
2016,1.8,37593.906,13.053333,13.093333,1667.6989
2017,1.7,38283.938,13.16,13.17,1668.9491
2018,1.5,38704.6,13.256666,13.233334,1663.1888
2019,1.8,39113.01,13.353333,13.296666,1667.9478
